datetime,y,y_pred,y_pred_lower,y_pred_upper
2015-01-02,454.0,471.90675422196256,-1493.377540236584,2437.191048680509
2015-01-03,143.0,453.85035597625966,-1511.4336462697565,2419.1343582222758
2015-01-04,319.0,143.24928008712095,-1822.0343912875783,2108.53295146182
2015-01-05,325.0,319.02961650345065,-1646.253854568815,2284.3130875757165
2015-01-06,318.0,324.8409626930977,-1640.442329937616,2290.1242553238117
2015-01-07,353.0,318.23759456986795,-1647.0455955911941,2283.5207847309302
2015-01-08,383.0,588.9384518780433,-802.6451057938065,1980.522009549893
2015-01-09,375.0,365.22124407294945,220.82106846755295,509.62141967834594
2015-01-10,376.0,64.44385846331255,-79.57398873398535,208.46170566061045
2015-01-11,379.0,524.4878407261126,381.6543367312356,667.3213447209896
2015-01-12,375.0,360.29969884152155,217.833640280589,502.7657574024541
2015-01-13,366.0,411.12459426488397,269.1367402010134,553.1124483287545
2015-01-14,353.0,366.1913361645432,224.8053489086595,507.57732342042686
2015-01-15,340.0,428.2510586266465,286.9615446419439,569.5405726113491
2015-01-16,356.0,323.95285920931036,199.65040198009402,448.25531643852673
2015-01-17,360.0,211.06568973854016,86.90456081342268,335.22681866365764
2015-01-18,370.0,426.89337951619706,302.93124319796027,550.8555158344338
2015-01-19,362.0,363.5608544183891,239.66186594824956,487.45984288852867
2015-01-20,340.0,371.1620302032315,247.3649857456171,494.9590746608459
2015-01-21,338.0,337.83325797553573,214.18827189171478,461.4782440593567
2015-01-22,332.0,370.598849420491,246.99915054346093,494.19854829752103
2015-01-23,254.0,327.3747800379795,210.28513511281875,444.4644249631403
2015-01-24,324.0,163.9239345932629,46.882188930653356,280.9656802558725
2015-01-25,333.0,379.2956037856531,262.3501082379315,496.2410993333747
2015-01-26,292.0,311.86295325725445,194.95112512173665,428.77478139277224
2015-01-27,318.0,303.13842952737167,186.2793479411534,419.99751111358995
2015-01-28,295.0,307.54372035102523,190.76362863301944,424.323812069031
2015-01-29,327.0,315.21615424286233,198.459482570389,431.97282591533565
2015-01-30,345.0,303.58368598322215,190.24018048809467,416.92719147834964
2015-01-31,334.0,281.29719962353465,167.9796527320127,394.6147465150566
2015-02-01,358.0,376.1247570614428,262.86036591728987,489.3891482055957
2015-02-02,349.0,342.56483286744026,229.31965656995973,455.81000916492076
2015-02-03,334.0,352.6758370859276,239.4613142432347,465.89035992862046
2015-02-04,313.0,326.37793356993006,213.21031843488566,439.54554870497446
2015-02-05,262.0,338.11691559686795,224.96409282674858,451.2697383669873
2015-02-06,303.0,253.30926965954265,142.2672489354875,364.3512903835978
2015-02-07,329.0,257.7941579131225,146.76793763050915,368.8203781957358
2015-02-08,323.0,357.4217340555983,246.42962564109666,468.4138424700999
2015-02-09,266.0,312.07524392094484,201.09577730511205,423.05471053677763
2015-02-10,319.0,271.34871249381484,160.38950864218663,382.30791634544306
2015-02-11,334.0,308.59656830805636,197.6686762536625,419.5244603624502
2015-02-12,342.0,331.33834068983873,220.42056816063484,442.2561132190426
2015-02-13,341.0,338.05075505660636,228.56741623931413,447.5340938738986
2015-02-14,377.0,301.3803610596632,191.90767205416256,410.8530500651638
2015-02-15,391.0,408.5659424200281,299.1169266016202,518.014958238436
2015-02-16,358.0,363.25043589046913,253.81034013179953,472.69053164913873
2015-02-17,327.0,372.5458812200203,263.1201504960414,481.9716119439992
2015-02-18,365.0,321.4980589425482,212.09469530937872,430.9014225757177
2015-02-19,352.0,375.9062120307036,266.5102150194997,485.30220904190753
2015-02-20,317.0,340.41546983222054,232.05815209145578,448.7727875729853
2015-02-21,320.0,300.62312806125783,192.27345651309201,408.97279960942365
2015-02-22,279.0,349.21263507373334,240.8803581018067,457.54491204566
2015-02-23,281.0,262.2892942651257,153.963652893083,370.6149356371684
2015-02-24,354.0,288.7868120828163,180.4718917234635,397.1017324421691
2015-02-25,340.0,342.4894585423919,234.19132232031444,450.78759476446936
2015-02-26,323.0,341.40365560554056,233.11111992521387,449.69619128586726
2015-02-27,315.0,318.61929022728305,211.11371258733314,426.124867867233
2015-02-28,310.0,292.89825922867385,185.39843387598376,400.39808458136395
2015-03-01,324.0,332.8084195303476,225.32191268853467,440.2949263721605
2015-03-02,226.0,303.7958254351092,196.3144474280544,411.27720344216397
2015-03-03,266.0,244.73035368100284,137.2572835332551,352.2034238287506
2015-03-04,200.0,270.70602545342365,163.24601620260933,378.166034704238
2015-03-05,275.0,200.14848721651887,92.69287933614432,307.60409509689345
2015-03-06,322.0,273.1725539163834,166.33385776308737,380.01125006967936
2015-03-07,216.0,281.0015852157187,174.16737109911688,387.83579933232056
2015-03-08,108.0,248.99697895783862,142.17328914057543,355.8206687751018
2015-03-09,197.0,96.15707243946397,-10.662534193688003,202.97667907261595
2015-03-10,238.0,215.1396143235214,108.32663525418141,321.95259339286144
2015-03-11,274.0,208.70392846861608,101.90140324815957,315.5064536890726
2015-03-12,315.0,287.8179258200355,181.01895046653158,394.6169011735394
2015-03-13,307.0,297.20987062299207,190.9075304764918,403.51221076949236
2015-03-14,208.0,281.86661574129914,175.5678651122746,388.1653663703237
2015-03-15,165.0,219.6767035155292,113.38647842429337,325.966928606765
2015-03-16,188.0,164.34680505999316,58.059907768312314,270.633702351674
2015-03-17,217.0,201.46722554406688,95.18573870613389,307.7487123819999
2015-03-18,191.0,209.95245738305022,103.67952756882329,316.22538719727714
2015-03-19,240.0,204.80136687001308,98.53136061275787,311.0713731272683
2015-03-20,229.0,236.57858010437945,130.7169984120868,342.4401617966721
2015-03-21,248.0,188.33092130684582,82.4722783994882,294.1895642142034
