datetime,y,y (scaled),split,y_pred (scaled),y_pred,error,percentage,y_pred_2 (scale),y_pred_2
2018-01-23,343.0,0.4570596797671034,train,0.48637778,363.14154,-20.14154052734375,-5.872169249954446,0.49019969,365.7672
2018-01-24,286.0,0.37409024745269287,train,0.45089865,338.76736,-52.767364501953125,-18.45012744823536,0.44854128,337.14786
2018-01-25,267.0,0.34643377001455605,train,0.39087823,297.53336,-30.533355712890625,-11.435713750146302,0.38515344,293.6004
2018-01-26,263.0,0.3406113537117904,train,0.3697394,283.011,-20.010986328125,-7.60874004871673,0.36549944,280.0981
2018-01-27,284.0,0.3711790393013101,train,0.3561393,273.6677,10.332305908203125,3.638135883170114,0.3550468,272.91714
2018-01-28,334.0,0.44395924308588064,train,0.3880612,295.59805,38.401947021484375,11.497588928588137,0.38883317,296.1284
2018-01-29,332.0,0.44104803493449785,train,0.44733363,336.3182,-4.318206787109375,-1.3006646949124623,0.4510666,338.88275
2018-01-30,300.0,0.39446870451237265,train,0.4218589,318.81708,-18.81707763671875,-6.272359212239584,0.42341033,319.8829
2018-01-31,271.0,0.3522561863173217,train,0.38637203,294.4376,-23.437591552734375,-8.648557768536671,0.38467914,293.27457
2018-02-01,293.0,0.38427947598253276,train,0.36333454,278.61084,14.38916015625,4.910976162542662,0.35874093,275.45502
2018-02-02,318.0,0.42066957787481807,train,0.39104602,297.64862,20.35137939453125,6.399804841047563,0.38915846,296.35187
2018-02-03,277.0,0.3609898107714702,train,0.4126217,312.4711,-35.471099853515625,-12.80545121065546,0.4121734,312.16312
2018-02-04,284.0,0.3711790393013101,train,0.35950842,275.9823,8.0177001953125,2.8231338715889085,0.35464564,272.64154
2018-02-05,313.0,0.41339155749636103,train,0.37643504,287.61087,25.389129638671875,8.11154301555012,0.3742394,286.10245
2018-02-06,324.0,0.42940320232896656,train,0.40501302,307.24396,16.75604248046875,5.171618049527392,0.40606326,307.96545
2018-02-07,287.0,0.37554585152838427,train,0.41621247,314.93796,-27.937957763671875,-9.734480057028527,0.41712642,315.56586
2018-02-08,334.0,0.44395924308588064,train,0.37626722,287.49557,46.504425048828125,13.923480553541353,0.37222946,284.72165
2018-02-09,375.0,0.5036390101892286,train,0.4397816,331.12997,43.870025634765625,11.698673502604166,0.44081613,331.84067
2018-02-10,378.0,0.5080058224163029,train,0.47160643,352.99365,25.00634765625,6.615435887896826,0.4755937,355.73288
2018-02-11,350.0,0.46724890829694327,train,0.47743487,356.99777,-6.997772216796875,-1.999363490513393,0.47877014,357.9151
2018-02-12,218.0,0.2751091703056769,train,0.45238763,339.7903,-121.79031372070312,-55.867116385643634,0.45032188,338.37112
2018-02-13,189.0,0.23289665211062593,train,0.29469335,231.45433,-42.45433044433594,-22.462608700706845,0.28264198,223.17503
2018-02-14,217.0,0.27365356622998543,train,0.28337935,223.68161,-6.681610107421875,-3.079082998811924,0.27388155,217.15663
2018-02-15,189.0,0.23289665211062593,train,0.31284666,243.92566,-54.9256591796875,-29.061195333167987,0.30733785,240.1411
2018-02-16,248.0,0.31877729257641924,train,0.2674891,212.76501,35.2349853515625,14.207655383694556,0.26145345,208.61852
2018-02-17,277.0,0.3609898107714702,train,0.3403482,262.8192,14.1807861328125,5.119417376466606,0.3412541,263.44156
2018-02-18,284.0,0.3711790393013101,train,0.35427812,272.38907,11.610931396484375,4.088356125522667,0.35667363,274.0348
2018-02-19,321.0,0.4250363901018923,train,0.35816246,275.05762,45.9423828125,14.312268788940811,0.36055946,276.70435
2018-02-20,335.0,0.4454148471615721,train,0.41533253,314.33344,20.66656494140625,6.169123863106344,0.418149,316.26837
2018-02-21,347.0,0.462882096069869,train,0.4229656,319.57736,27.422637939453125,7.902777504165166,0.4234354,319.90012
2018-02-22,333.0,0.44250363901018924,train,0.4318546,325.6841,7.315887451171875,2.1969631985501126,0.4322148,325.93155
2018-02-23,331.0,0.43959243085880645,train,0.42020515,317.68094,13.319061279296875,4.023885582869147,0.4166876,315.26437
2018-02-24,347.0,0.462882096069869,train,0.42267883,319.38034,27.619659423828125,7.959556029921649,0.41957816,317.25018
2018-02-25,317.0,0.41921397379912667,train,0.44268933,333.12756,-16.1275634765625,-5.087559456328864,0.44148773,332.30206
2018-02-26,170.0,0.2052401746724891,train,0.40823066,309.45447,-139.4544677734375,-82.03203986672794,0.4041832,306.67386
2018-02-27,167.0,0.20087336244541484,train,0.24455193,197.00717,-30.007171630859375,-17.968366246023578,0.23138092,187.95871
